Index,Start time in milliseconds,End time in milliseconds,Script,"Label_(0:junior,1:senior,2:none)"
178,744399,748970,그 취지 겠어요 합격입니다,2
179,748980,750489,그래 그,2
180,750499,754100,음 잘 된다 으,2
181,754110,759830,김 턴 장 글에 2년 계약직 4월 최종 합격,2
182,759840,760400,[음악],2
183,760410,764280,으,2
184,764300,766559,아,2
185,766579,775600,예 안양의 씩 300 p 씨 역시 예 역시 될만한 3일은 되는군요,2
186,775610,778590,직감이 5시에 각 1부 3 하십시오,2
187,778600,781390,[음악],2
188,781400,791080,우리 셋이 단가 보네요 작년 2 것 같다더니 오랜 좀더 썼네,2
189,791100,797330,아 케 스,2
190,797350,800550,안녕하세요,2
191,800570,803000,4 하세요,2
192,803010,807970,4 아세요 제목인 등 그,2
193,807990,810920,장그래 씰 다시 보네요,2
194,810930,813410,4,2
195,813430,816410,으 으,2
196,816420,822090,이렇게 4호 줘 뭐 2,2
197,822110,838069,자 개정 때 비싸다 확인해 보시고요,2
198,838089,841669,다 썼지,2
199,841689,846200,어디에요 아,2
200,846220,848340,전혜빈의,2
201,848350,851759,그런데 주심,2
202,851779,853820,처음 팀 새,2
203,853830,856259,철거,2
204,856279,864520,그럼 장기 신,2
205,864540,868670,그냥 낮이고 너무 놀라 여기 한번 박태일 쑥이 진짜 재미있어요,2
206,868680,871760,문제될 것은 알스 심지어 바로 수정할게,2
207,871770,874270,안녕하십니까,2
208,874290,880020,신입사원 장 글입니다,2
209,880040,883780,음 가장이,2
210,883790,885920,좋았습니다,2
211,885930,890460,[음악],2
212,890480,895509,그러니까 왜 또 보자구,2
213,895519,897310,주가 예 자리씩,2
214,897320,898809,[음악],2
215,898819,902140,감사합니다 그럼 어머 보겠습니다,2
216,902150,904869,[음악],2
217,904879,908079,바하 21 음식을,2
218,908089,913380,현장을 떠난 한 성 이론 아직 3 시계 적응하지 못하고 있었다,2
219,913400,916710,어 헤드 이놈의 산은 눈을 못 나온 밤이었습니다,2
220,916720,917950,[음악],2
221,917960,918600,심습니다,2
222,918610,920819,[음악],2
223,920829,924660,환율변동 해야겠지 자매 끼는 선임의 블루투스헤드셋 보다도 못한 대접을,2
224,924670,926280,받고 있었고,2
225,926290,930150,인턴 신분으로 도 그렇게 당당하고 자신만만한 던 그녀는,2
226,930160,936280,이유를 알 수 없는 선배들의 냉대를 몽키 견뎌내고 있었다,2
227,936300,942160,특히 줄 알았지,2
228,942180,945620,이 고무의 dl 들에 부천 않을수,2
229,945630,951260,예 요정 쯤에서 정식 빼라는 할 쑤,2
230,951280,952310,굴 0,2
231,952320,953700,[박수],2
232,953710,957510,나 이럴 줄 알았어 5 상식,2
233,957520,961650,너 이자식 차를 걸렸다 예,1
234,961660,965820,오리지날 위해 어딨어 대체 너 당장 전 해봐,1
235,965830,973749,예 물론 예,0
236,973769,977119,아 어 저거 o 가장 님,0
237,977129,983730,그 투르크메니스탄 꽃 말이에요 왜 bl 드래프트 만 넣었어요,2
238,983740,987569,어 정 식비를 어째 써요,2
239,987579,991110,4 예 앞이 안 하다가 한답니까,2
240,991120,994889,전과정 뭐여 신입이 했어,1
241,994899,997950,야,1
242,997970,1004350,으 으 쉽게 오빠로 시키고 에 다신 그러지 마세요,2
243,1004360,1008670,뭐래 에 뭐 전했다고 하지 말입니다,2
244,1008680,1013460,5,2
245,1013480,1018660,으 으 으,2
246,1018670,1021100,좀 여 여보세요 내가 아까 니가 올래,2
247,1021110,1023610,[웃음],2
248,1023620,1029700,어흠 뜻 빼빼 땐 어제 맘 사라지지,2
249,1029720,1035980,5 to 6,2
250,1036000,1038370,no.5,2
251,1038380,1047029,좀 으 으,2
252,1047049,1053489,뭐하러 가 지금 아니 왜 pl 둘의 부천 넣어가지고 짧아 br 만약 부다,2
253,1053499,1054899,점수 짜라,2
254,1054909,1058950,아니 이제 우리 받은 기억이 없는데,1
255,1058960,1062219,야 너 를 모르냐고 하고 잘 모르냐 어,1
256,1062229,1066000,애들 앞에서 임마 챙피한 따로,2
257,1066020,1070720,오 요 어 아무리 마마 보자 무서운 도로 침하 화장실에 들어가서 채,2
258,1070730,1072820,그렇게 말도 못하고 또 그 자리 뭐 2,2
259,1072830,1077980,고소 주소 올라서 어 사람이 뭐 뵐 마 책임 있게 말해야 될 때 아는,2
260,1077990,1080570,사람이 두 군데,2
261,1080580,1089050,어 난 그냥 혼자 쪽팔리고 끝나지 누구처럼 장내는 않지 같죠 사장님,0
262,1089070,1094549,너 지금 오를수 아직까지는 도시 뭐야 이거 안 너 까지 놓으세요 5 왜,1
263,1094559,1099440,cc 게 쉬세요 5 첨부 답함,0
264,1099450,1106980,저상 나뻐 쭉 의 총과 장애,2
265,1107000,1116050,으 과자 으,2
266,1116070,1129690,4 이렇게 아,2
267,1129710,1131289,으,2
268,1131299,1137799,아니 다시 사람들이 다 지들 마음대로 생각하고 떠드는데 왜 아니 왜 합의,2
269,1137809,1141600,한 마디를 지도안 하세요,0
270,1141620,1146870,사람들이 무엇을 잘못 알고 있는데,2
271,1146890,1149490,구술 업체랑 무리하게 계약한 창문이 있잖아요,2
272,1149500,1153360,다들 실시하지 만큼 말도 안되는 계약 이었다는 것,2
273,1153370,1157470,그래서 처음부터 쥐 말 많았던 거 다 아시잖아요,0
274,1157490,1162159,전문 커미션 까지 받으셨던 제가 그 다음 지시가 뒤집어 쓴 거 아닙니까,2
275,1162169,1165159,언제 지주 근거는 가장 2막의 아무 상관없잖아요,2
276,1165169,1169840,그러니까 사실들이 얘기를 좀 하세요 r 뭐 식은 전문점 무 지금,2
277,1169850,1175780,바뀐 거 없어,1
278,1175800,1179409,그때,2
279,1179429,1184060,내가 책임 못 증거,2
280,1184080,1188780,내가 책임지겠다 고 말하지 않은 것은,2
281,1188800,1193870,떨어질 않습니다 3 장 님,0
282,1193890,1199330,그런 상황에서 책임지겠다고 나설수 이 사람이 얼마나 되겠어요,2
283,1199340,1207000,다들 과장 좀 했을 겁니다 그렇죠,0
284,1207020,1213010,왼쪽의 계속 연락이 오는 경우가 있는데 하 다리가 신경을 좀 써 줘 예,2
285,1213020,1217830,브래킷 이제 마무리 하셔도 될거 같습니다,0
286,1217850,1222170,으 으,2
287,1222190,1224490,마무리를 어떡해,1
288,1224500,1231609,비에리 안 넘어 왔는데,2
289,1231629,1233869,그것 따로 말씀 초,2
290,1233879,1239940,정말 안 넘길 거야,1
291,1239960,1242860,님의 넘겼다 고 말씀드렸습니다,0
292,1242870,1248770,대체 언어 업체로 얼마나 뒷문을 등 거야 얼마나 에 무것도 주장 님,2
293,1248780,1251560,5 가 작년 그런건 아닌거 아시잖습니까,0
294,1251570,1255880,당신은 가만히 있어 뛸 때 안 낄 때 닭 여 여자가,1
295,1255890,1261130,부장님 그럼 방 사람 키지 못하겠다고 말씀하시던 c5,2
296,1261140,1263769,봐,2
297,1263789,1267450,4 으,2
298,1267470,1270759,정욱식 작년에 있었던 일들 워치 한테 이러시는 거 않으시죠,2
299,1270769,1277910,뭐 작년 뭐 여사 우 에서 제기한 지점 성의로 문제에요 뭐 있습니다,2
300,1277920,1280700,제가 중에 있었다 고 말입니다,2
301,1280710,1282640,[음악],2
302,1282650,1285190,no,2
303,1285200,1289480,야오 상실 여기서 그 얘기가 벨라,2
304,1289490,1293200,그리고 정의로 그게 왜 성의로 이야,2
305,1293210,1298090,파일롯 읽곤 크 여자가 잘못이지 그래서 내가 뭐 만지기 를 애써 기르다,1
306,1298100,1302259,보기로 해서 죽일 때마다 그렇게 가릴 거면 뭐하러 그런 옷 입고 아니,2
307,1302269,1307810,그냥 다 보이게도 2마리 정의로운 야 어 성희롱 이야,2
308,1307820,1313659,단어 법이 자 너 그런 옷 입고 다니지 말라는 뜻 아냐 내 노크 상에도,2
309,1313669,1316180,볼만한 것도 없네,1
310,1316190,1322990,라고 하셨잖아요 그럼 그러니까 그 말이 성희롱 이냐고 뭐야,2
311,1323000,1323420,5,2
312,1323430,1326920,으 으,2
313,1326940,1331760,뭐 커피 좀 타오 라는 것도 성추행 이래요 시집 못 간 걱정해 온것도 속,2
314,1331770,1335090,책 에어 얘기 안 끝났는데 하더라,2
315,1335100,1339050,상우 스러운 서로 사랑하고 있습니다,2
316,1339060,1342010,줄,2
317,1342030,1344279,5,2
318,1344299,1347400,와 가장 님 진짜 전할,2
319,1347410,1353430,[음악],2
320,1353450,1355779,박민식,2
321,1355789,1361690,아 이거 번 알릴 예,2
322,1361710,1366920,이아라 다 다 익어,2
323,1366940,1371220,미안하다 정말이,2
324,1371230,1390830,으 으 으 이런 또 가희 색기 획득하는 카고 좀 해서 뭐,2
325,1390840,1392810,아 뭘,2
326,1392820,1395330,사과 갈려서 사과 준 건 들,2
327,1395340,1396570,[음악],2
328,1396580,1399330,새빨간 헉 주고 싶으면 돼요,2
329,1399340,1402570,요즘에 그 품종이 속도라 가장 님,0
330,1402580,1414560,쉽게 가 첨단 뭐야 이거 뭐야 아 아 아,1
331,1414570,1417480,wer 당해야 한다,2
332,1417490,1423860,fr,2
333,1423880,1430790,아 걔 좀 해주세요,0
334,1430810,1433200,버 실제 소리 엄청 크게 나는데 과정이,2
335,1433210,1437100,번 서버 파이브 에서,2
336,1437110,1441860,화장 달 달 을 줄 알았지요,2
337,1441880,1446460,으 color,2
338,1446470,1450090,하지만 말할 수 있게요,2
339,1450100,1451590,처럼 달라,2
340,1451600,1456210,괜찮아도 줘 야 그,2
341,1456220,1462600,대하여 어 뾰 뼈 거쳐 라도 보지가 그 그만 없어 졌 좋으니까,2
342,1462610,1467160,경험담 후기 5 그 하다 와 저 핵실험에 찍지 말고 식게 마라도 진짜로,2
343,1467170,1469950,다지고 이야기도 뽑고 여 안고 거죠 얌마,2
344,1469960,1475110,별이가 분들이 넘어 후지 크다 버려야 뭐 남쪽 일단 아이 주점이 괜찮으실,2
345,1475120,1482330,수 있는데 그러니까 애초에 꿰차며 진짜 걱정 마 식 그저 좀,2
346,1482350,1495470,부정이 악 예 아 아 아 아 좀 우스운지 있을거라 케 어 어,2
347,1495490,1498260,아,2
348,1498280,1501740,[음악],2
349,1501760,1507050,아 으,2
350,1507070,1510240,아직은 이제야 잘 쪄서,2
351,1510250,1513860,제 5팀 좀 다녀올게요 어,0
352,1513870,1515500,잠들어,2
353,1515510,1519070,음울한 자 봐요,2
354,1519090,1521900,너의 자원 집에서 어슬렁 거에요,2
355,1521910,1527019,비열 찾아가서 아님 다락으로 왜 갔어,1
356,1527029,1533660,아님 안 들어갔어,1
357,1533680,1543710,불러봐,1
358,1543730,1548389,안약이 한테 물어 봤어 아닙니다 이렇게 그 아,2
359,1548399,1555480,여 것도 아무르 본 보시오,2
360,1555500,1559250,북한 무기 놀부 말 마,2
361,1559260,1564560,누가 넘어 솔져 버려야 아 그렇게 할 이로써,2
362,1564570,1566649,죄송합니다,0
363,1566659,1572080,5 아,2
364,1572100,1600359,too 으 으 으 으 으 으,2
365,1600369,1607190,겁니다,2
366,1607210,1609720,노 225,2
367,1609730,1612810,으 뜻이 뭐야 5,2
368,1612820,1620370,으 으,2
369,1620380,1622400,[음악],2
370,1622410,1624170,시기,2
371,1624180,1630380,남의 쯤 캐빈 햇수로 허락을 시키죠 와,2
372,1630400,1633450,으 우리한테 쓰다 옹고집,2
373,1633460,1638580,5 과정에서 나온 거지 뭐 어떻게 알아 또 모르지,1
374,1638590,1648060,근데 너랑 나랑은 rg59 모두 어 크게 무신 호흡 수리,1
375,1648070,1650340,그런데,2
376,1650350,1655820,이제 자원 팀의 이딴 걸 아는 사람 있어,1
377,1655840,1658170,누가,2
378,1658180,1660659,아,2
379,1660679,1663229,아 어이 스킹,2
380,1663239,1666110,또 한번 움직이 거야 면은,2
381,1666120,1671090,일단 정말 값 아닙니다 아 예,0
382,1671100,1672990,그리고,2
383,1673000,1676480,또 한 번 영업 3집 면목이 면은,2
384,1676490,1679000,죽여버릴 거야 g,1
385,1679010,1681010,꾀,2
386,1681020,1684870,[음악],2
387,1684890,1687570,습니다,2
388,1687590,1692200,아 우리 한테 니가 잘도 이게 어 오 오 바다님,2
389,1692210,1702020,사감 흘려 그 상 12 와 철문으로 죽여버려 이씨,2
390,1702040,1707350,으,2
391,1707370,1711289,뭐 봤다 안 봤다 써 우리 멀티숍 왁스 4,2
392,1711299,1718820,좀 그 어느 주셨습니다,0
393,1718840,1723660,한 부장은 되요 음 그렇게 까다롭게 군들이 구미가 당기는 뭐에,2
394,1723670,1728090,이런 너무 맛나서 끝까지 쯤 해요,0
395,1728110,1730330,아 으,2
396,1730340,1732580,어,2
397,1732600,1740840,아 보시길 쌈밥 요나 야 이거 아는 분이지요 아아 어 어이 거기 독창 돼,2
398,1740850,1746720,아야 변혁 처리 새끼야 아 야 이제 그 캬 세워지고 군내가 떠서 유학하던,2
399,1746730,1752240,에 오히려 어 으 절 푸름 오 이뻐요 china's 난 마치 됐지 뭐,1
400,1752250,1753980,어찌어찌,2
401,1753990,1761870,잡상 시에 왔지 dia 디아 교정 하하 아 아 아 아 아 아 아 아 아,2
402,1761880,1763100,아 악,2
403,1763110,1770540,br 저런 어느 잘게 배웠던 말이 아닐까 이슈를 망가짐 빠 아 쟤 더,2
404,1770550,1772940,힘들 팔아라,2
405,1772950,1777080,아 내가 모르 자 어 5 어릴때 동안 입맛 을 것은 통하지 않으니,1
406,1777090,1779210,걱정하지 마 내가 알아보세요,2
407,1779220,1782720,표 그냥 내가 있는 이 얼굴이 얘 게,2
408,1782730,1786500,고수하게 떴 우야 아아아아 않습니까,2
409,1786510,1788960,우리 싶으실 해볼까 고마워요,2
410,1788970,1791270,[음악],2
411,1791280,1797510,쎄씨 가 조금만 더 기다려라 액 결정한 바라고 버그 에 야 나도 따지지,1
412,1797520,1798050,마,2
413,1798060,1808940,아유타야 아아 화자의 아 아 아 아 진짜 미친 너 스 패 코웨이 치우,2
414,1808950,1810409,말이야,2
415,1810419,1813200,4,2
416,1813210,1817160,5 있었습니까 잘 되지 않다,2
417,1817170,1821030,제가 j 가 첫 중에서 놓고 있는데요 딱 10만 계층 땅 가볼까요 거,0
418,1821040,1825170,아닌 부장님 계속 물어 보시더라구요 무조건 되는건 이라고 그리고 영업일,0
419,1825180,1826490,있지만 더 달게 한 것 같은데,2
420,1826500,1841270,이겠지 정비 리,2
421,1841290,1846410,아 만나서 반갑습니다 아껴야 합니다 아,2
422,1846420,1848460,[음악],2
423,1848470,1850970,아,2
424,1850990,1852630,5 4 에,2
425,1852640,1857150,아 아 아 아 5 3,2
426,1857170,1859080,야 이거,2
427,1859090,1864120,간 괜찮냐 난 내가 마시고 싶을때 맛이지만 넌 남이 마시고 싶을때 마셔야,1
428,1864130,1865710,되자 너 야 인마,1
429,1865720,1870900,그럴리가 있냐 다음도 숙여도 다 먹었지 해제 하셔야,1
430,1870910,1874530,남도의 날에 공부 중에 쓸고 좀 잘 될 줄 알게 된,2
431,1874540,1877440,창살을 가서 볼 게냐,2
432,1877450,1882720,검색 무슨 보람이 야 야 외로 우리 산삼은 잡으 10월과 대단한데,2
433,1882730,1887250,우리나라의 그 맨 자 달인 지금이 딱 2개 것 없네 어 증권맨 참 섬 n,2
434,1887260,1894230,아 아 아 아 상단 우리네,2
435,1894250,1901490,할까봐 다비치 어딨어 파악해 보았다,2
436,1901510,1906120,거북이가 검 무기 것을 멋지게 꿇는 줄 알아 너,1
437,1906130,1911120,빵,2
438,1911140,1914879,cover 쏙,2
439,1914899,1920259,예 term 판,2
440,1920269,1923819,한번 4,2
441,1923839,1929680,들어간 전체 ce 그렇게 잘생긴 션 4,2
442,1929690,1933759,그래서 몸 사람들 인물 볶다 아하하,2
443,1933769,1937959,얘기를 들어 왔어 봐 아 와 내가 먹어,1
444,1937969,1945900,마이걸 게을러 얍 짤 닦기도 않는 커넬 재 시작했구요,2
445,1945920,1947600,으,2
446,1947610,1950640,[음악],2
447,1950650,1954290,222,2
448,1954310,1958780,[음악],2
449,1958800,1959610,으,2
450,1959620,1962560,[박수],2
451,1962570,1974780,좀 too were,2
452,1974800,1976700,[음악],2
453,1976710,1980330,으 lee,2
454,1980340,1983340,cool,2
455,1983360,1986019,그 이유가 뭐야,1
456,1986029,1992949,나쁜 조건이 맘에 안들어 아 아 이게 나쁜 조건이나 훌륭하지 근데 솔직히,1
457,1992959,1998799,우리 해서는 전부터 받을 생각이 없어서 아직 시장성이 없다고 판단 했거든,1
458,1998809,2002430,나는 처음부터 가능성도 수 있어 가는 매봉 그래요,2
459,2002440,2008849,너도 옛날을 감 본다고 내 반찬 뺏어 먹었잖아 맘마 먹고,1
460,2008859,2013009,아야 둥가둥가 동 다니고,2
461,2013029,2018450,내가 너도 나한테 뭐 쌓인 감정 화초 임원이 아니고 감정은 해야 도,1
462,2018460,2019440,아니고,2
463,2019450,2025130,옛날엔 감정 있었지 알기 까,2
464,2025150,2028830,옛날 감정이 몸들 im 이해도 하기,2
465,2028840,2033440,그래야 주 전현희 얘기하긴 그렇고 지금 상황에서 이야기 쉽게 말해 줄게,1
466,2033450,2035610,너 모르겠지만,1
467,2035620,2039970,옛날에 넘 가깝고 난해 을 같았다,2
468,2039990,2046570,뭐 그래서 그냥 나도 한땐 갑질 한번 해봤다 차라,1
469,2046590,2049730,무 부 자동차 게 내보자,1
470,2049740,2059869,끊는다 친구야 4,2
471,2059889,2062720,222,2
472,2062730,2065340,으 윽,2
473,2065360,2073559,뭔가 하고 싶다면 일단 너만 생각해,1
474,2073579,2077340,5,2
475,2077360,2080620,안녕하세요,2
476,2080640,2083609,2,2
477,2083629,2086830,it open 박대리 님 이시죠,2
478,2086840,2090759,5 으,2
